atlas,p102,p107,p108,p109,p115,p116,p117,p119,p120,p125,p127,p128,p129,p133,p135
1,0.505593193,0.422884883,0.864738909,0.64327334,0.635671004,0.837280813,0.484318749,0.702489605,0.85772811,0.56365094,0.171860409,0.692731939,0.881688419,0.495315261,0.510016508
2,0.515934128,0.369434975,0.885319141,0.648350017,0.689160686,0.864918847,0.572117352,0.803784283,0.865225671,0.553049019,0.265397698,0.786379959,0.880207667,0.445429679,0.593844667
3,0.522311521,0.415401553,0.863860554,0.600255002,0.597240465,0.844468884,0.502251651,0.752967839,0.68667836,0.534395711,0.453485365,0.759375018,0.893340529,0.509243551,0.511337269
4,0.50677701,0.405768578,0.856978848,0.538282422,0.627875883,0.826253976,0.502251651,0.746763914,0.658249691,0.502589186,0.325102322,0.757677549,0.84020598,0.428427789,0.497746363
5,0.515637408,0.40078501,0.87508572,0.542172133,0.627875883,0.831986892,0.495448914,0.777776965,0.676455266,0.484830165,0.272522937,0.731578516,0.865541187,0.390364619,0.437177069
6,0.51779296,0.534944252,0.875663216,0.556714099,0.627875883,0.840145475,0.483673263,0.772004298,0.690648972,0.50778805,0.305290529,0.73188562,0.836248586,0.391032079,0.4657466
7,0.51448741,0.542196433,0.845262904,0.556314254,0.315923886,0.837246466,0.466785709,0.755943649,0.685899212,0.499832195,0.324331611,0.734679176,0.828589253,0.389848744,0.464261272
8,0.510724759,0.546372003,0.840526357,0.555892214,0.313119073,0.83318598,0.462755604,0.762830669,0.676787822,0.495768775,0.307451747,0.713188128,0.843742341,0.390093764,0.437491577
9,0.505422185,0.549786359,0.847583637,0.555389907,0.311236721,0.844524024,0.469446603,0.745580495,0.67662261,0.496811117,0.315174565,0.702435088,0.841564613,0.394671265,0.420723524
10,0.518416355,0.551650326,0.825217461,0.547756915,0.301234357,0.831612152,0.471207811,0.643682498,0.677660529,0.504320832,0.31219036,0.710403269,0.830577778,0.404975534,0.422348081
11,0.511476022,0.556866139,0.83356941,0.551883923,0.310200827,0.829759596,0.464571878,0.60465129,0.676091522,0.497369211,0.32210278,0.71091995,0.841012677,0.40078373,0.433424511
12,0.509909562,0.556524011,0.847462312,0.546382613,0.303460233,0.836689822,0.469540389,0.603345877,0.662080113,0.490561162,0.321703929,0.711818273,0.833198432,0.392742694,0.434367133
13,0.500829265,0.547862166,0.84095288,0.537583481,0.296249993,0.830859655,0.462615689,0.629935048,0.644660476,0.491873033,0.322854141,0.714527786,0.834047445,0.390099827,0.431788959
14,0.486747184,0.54319916,0.840602652,0.540017913,0.303433904,0.829037487,0.43840561,0.636919164,0.643690432,0.498412051,0.321666262,0.72255729,0.824340032,0.387057354,0.429637513
