atlas,p102,p107,p108,p109,p115,p116,p117,p119,p120,p125,p127,p128,p129,p133,p135
1,0.504391616,0.652820604,0.819079682,0.568236009,0.033581323,0.851708717,0.31767025,0.727699698,0.756910483,0.464301522,0.135113829,0.635640775,0.817719324,0.55447682,0.491992781
2,0.530915782,0.686610416,0.885735902,0.569990261,0,0.823530762,0.565958511,0.841690808,0.889854357,0.549774131,0.31958636,0.822885757,0.831426288,0.368494943,0.514066439
3,0.494084515,0.595988123,0.867379447,0.437970225,0.549735208,0.856431785,0.530168914,0.68561573,0.709876174,0.518729325,0.453485365,0.732014789,0.784154948,0.424821094,0.495945024
4,0.515620861,0.580957936,0.877388965,0.54873863,0.124127185,0.807556104,0.481140783,0.781456763,0.63916521,0.481390844,0.310017372,0.700856635,0.836502993,0.426922566,0.437524978
5,0.524881497,0.596889245,0.838082004,0.549366583,0.001353994,0.833016947,0.42968304,0.60306451,0.5752915,0.499842469,0.315209918,0.81480526,0.840763294,0.387888735,0.486384912
6,0.445444411,0.410905923,0.739463968,0.501439339,0.303879151,0.822571186,0.461409828,0.713065606,0.703177321,0.488452903,0.246436158,0.772527828,0.708264962,0.406725952,0.419641691
7,0.507319035,0.508412583,0.828154679,0.533290006,0.219609909,0.820863466,0.35801935,0.724371707,0.640906033,0.505878983,0.328273844,0.749429371,0.712581532,0.399525904,0.483892769
8,0.509331232,0.567190937,0.822845191,0.532143618,0.623149107,0.830757303,0.410228956,0.692243419,0.785840922,0.499520169,0.268288742,0.707013497,0.837694334,0.405558657,0.436762224
9,0.467481496,0.556467342,0.874054067,0.522121521,0.004199249,0.855916474,0.503189955,0.700123519,0.605456448,0.500637353,0.305085332,0.729008979,0.80832491,0.395751693,0.468268909
10,0.489646093,0.402539727,0.842434794,0.538521343,0.317835631,0.81222403,0.384822197,0.585595946,0.624424998,0.492397739,0.324003899,0.715068477,0.811085192,0.368361624,0.43608727
11,0.50036973,0.561322956,0.865785325,0.535003551,0.282569859,0.816564535,0.463383664,0.727036607,0.657155172,0.499827374,0.290330798,0.782806522,0.79797049,0.378459469,0.426030095
12,0.521383925,0.565612517,0.812357909,0.560712258,0.203126193,0.849858408,0.485847943,0.698490517,0.647110429,0.492896831,0.309808351,0.774057306,0.809657891,0.382161472,0.427320608
13,0.529270868,0.489370571,0.873978897,0.53775444,0.279451888,0.842153157,0.448924294,0.633648632,0.638242337,0.50746125,0.33089036,0.711422169,0.825306488,0.379934424,0.421500348
14,0.487589727,0.537584693,0.832543931,0.543430882,0.302249545,0.802814408,0.398978659,0.639495565,0.620936274,0.493167034,0.33352357,0.738601318,0.845678156,0.375490923,0.421859165
